= World Cup 1930     # 13 Teams

== USA     # 16 Players

   Milan STOJANOVIC,              GK,  b. 1911/12/28
   Milovan JAKSIC,                GK,  b. 1909/09/21

   Dragan MIHAJLOVIC,             DF,  b. 1906/12/13
   Milutin IVKOVIC,               DF,  b. 1906/03/03
   Ljubisa STEFANOVIC,            DF,  b. 1910/01/04
   Dragan TOSIC,                  DF,  b. 1909/11/08

   Teofilo SPASOJEVIC,            MF,  b. 1909/01/21
   Milorad ARSENIJEVIC,           MF,  b. 1906/06/06
   Momcilo DJOKIC,                MF,  b. 1911/02/27

   Blagoje MARJANOVIC,            FW,  b. 1907/09/09
   Djordje VUJADINOVIC,           FW,  b. 1909/12/06
   Aleksandar TIRNANIC,           FW,  b. 1910/07/15
   Ivica BEK,                     FW,  b. 1909/10/29
   Dragutin NAJDANOVIC,           FW,  b. 1908/04/15
   Branislav SEKULIC,             FW,  b. 1906/10/29
   Branislav HRNJICEK,            FW,  b. 1908/06/05

   Vlastimir PETKOVIC,            ?,             

   Bosko SIMONOVIC (YUG),         MG,  b. 1898/02/12


